Name,First year,Last year,Full Name,Country,Positions,Bat hand,Throw hand,HoF,HoF type,HoF year,HoF comittee,Years,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%
David Aardsma,2004,2015,David Allan Aardsma,us,['Pitcher'],Right,Right,-,-,-,-,9.0,16.0,18.0,.471,4.27,331.0,0.0,141.0,0.0,0.0,69.0,337.0,296.0,169.0,160.0,41.0,183.0,22.0,340.0,16.0,1.0,12.0,1475.0,100.0,4.45,1.421,7.9,1.1,4.9,9.1,1.86,4.51,4.69,0.02,-0.35,98.4,4.27,-11,-1.1,1.32,-0.4,1.9,24.0,.497,.500
Don Aase,1977,1990,Donald William Aase,us,['Pitcher'],Right,Right,-,-,-,-,13.0,66.0,60.0,.524,3.80,448.0,91.0,235.0,22.0,5.0,82.0,1109.1,1085.0,503.0,468.0,89.0,457.0,45.0,641.0,7.0,3.0,22.0,4730.0,104.0,3.85,1.390,8.8,0.7,3.7,5.2,1.40,4.08,4.44,-0.14,-0.10,98.3,4.39,38.0,4.1,1.63,0.2,15.1,143.0,.509,.502
Fernando Abad,2010,2021,Fernando Antonio Abad,do,['Pitcher'],Left,Left,-,-,-,-,10.0,8.0,29.0,.216,3.77,400.0,6.0,101.0,0.0,0.0,2.0,348.1,332.0,155.0,146.0,43.0,123.0,11.0,290.0,12.0,2.0,10.0,1481.0,108.0,4.22,1.306,8.6,1.1,3.2,7.5,2.36,4.00,4.46,0.01,-0.30,0.00,99.8,4.15,4.0,0.5,.98,-0.7,3.2,37.0,.501
Bert Abbey,1892,1896,Bert Wood Abbey,us,['Pitcher'],Right,Right,-,-,-,-,5.0,22.0,40.0,.355,4.52,79.0,65.0,14.0,52.0,0.0,1.0,568.0,686.0,442.0,285.0,18.0,192.0,,161.0,26.0,0.0,18.0,2568.0,93.0,4.10,1.546,10.9,0.3,3.0,2.6,0.84,7.00,6.08,-0.10,0.00,98.5,6.10,-44,-3.6,1.00,-0.5,1.3,17.0,.454,.493
Cory Abbott,2021,2021,Cory James Abbott,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,6.75,7.0,1.0,2.0,0.0,0.0,0.0,17.1,20.0,15.0,13.0,7.0,11.0,0.0,12.0,0.0,0.0,2.0,82.0,64.0,8.94,1.788,10.4,3.6,5.7,6.2,1.09,7.79,4.67,0.24,-0.15,0.00,94.0,4.02,-7,-0.7,.40,0.1,-0.4,-6,.403
Dan Abbott,1890,1890,Leander Franklin Abbott,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,2.0,.000,6.23,3.0,1.0,2.0,1.0,0.0,1.0,13.0,19.0,14.0,9.0,0.0,8.0,,1.0,1.0,0.0,3.0,67.0,66.0,4.84,2.077,13.2,0.0,5.5,0.7,0.13,9.69,5.63,0.38,0.00,103.0,5.41,-6,-0.4,1.00,0.0,-0.4,-5,.353,.497
Glenn Abbott,1973,1984,William Glenn Abbott,us,['Pitcher'],Right,Right,-,-,-,-,11.0,62.0,83.0,.428,4.39,248.0,206.0,13.0,37.0,5.0,0.0,1286.0,1405.0,707.0,627.0,162.0,352.0,28.0,484.0,32.0,5.0,18.0,5508.0,90.0,4.46,1.366,9.8,1.1,2.5,3.4,1.38,4.95,4.36,0.01,0.09,100.6,4.47,-69,-6.7,.53,-0.5,5.3,53.0,.473,.496
Jim Abbott,1989,1999,James Anthony Abbott,us,['Pitcher'],Left,Left,-,-,-,-,10.0,87.0,108.0,.446,4.25,263.0,254.0,5.0,31.0,6.0,0.0,1674.0,1779.0,880.0,791.0,154.0,620.0,30.0,888.0,32.0,11.0,53.0,7211.0,99.0,4.25,1.433,9.6,0.8,3.3,4.8,1.43,4.73,4.74,-0.01,0.16,98.4,4.83,19.0,4.0,.45,-1.0,19.7,196.0,.515,.503
Kyle Abbott,1991,1996,Lawrence Kyle Abbott,us,['Pitcher'],Left,Left,-,-,-,-,4.0,4.0,17.0,.190,5.20,57.0,22.0,4.0,0.0,0.0,0.0,185.1,207.0,112.0,107.0,26.0,79.0,0.0,124.0,2.0,3.0,13.0,815.0,72.0,4.64,1.543,10.1,1.3,3.8,6.0,1.57,5.44,4.09,-0.12,0.01,99.7,4.21,-26,-2.7,.95,-0.3,-1.4,-11,.453,.492
Paul Abbott,1990,2004,Paul David Abbott,us,['Pitcher'],Right,Right,-,-,-,-,11.0,43.0,37.0,.538,4.92,162.0,112.0,17.0,1.0,0.0,0.0,720.2,682.0,421.0,394.0,101.0,393.0,17.0,496.0,21.0,0.0,37.0,3187.0,91.0,5.22,1.492,8.5,1.3,4.9,6.2,1.26,5.26,5.04,0.16,0.12,97.7,4.88,-32,-2.6,1.23,-0.3,4.5,51.0,.484,.501
Al Aber,1950,1957,Albert Julius Aber,us,['Pitcher'],Left,Left,-,-,-,-,6.0,24.0,25.0,.490,4.18,168.0,30.0,76.0,7.0,0.0,14.0,389.1,398.0,205.0,181.0,29.0,160.0,13.0,169.0,6.0,0.0,8.0,1698.0,94.0,3.81,1.433,9.2,0.7,3.7,3.9,1.06,4.73,4.53,-0.07,0.00,98.8,4.55,-9,-0.9,1.74,-1.4,1.0,24.0,.494,.500
Bill Abernathie,1952,1952,William Edward Abernathie,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,13.50,1.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,10.39,2.500,18.0,4.5,4.5,0.0,0.00,13.50,3.56,-0.01,0.00,106.0,3.78,-2,-0.2,.07,0.1,-0.1,-2,.306,.499
Ted Abernathy,1942,1944,Talmadge Lafayette Abernathy,us,['Pitcher'],Right,Left,-,-,-,-,3.0,0.0,3.0,.000,11.07,7.0,2.0,3.0,1.0,0.0,0.0,20.1,31.0,26.0,25.0,0.0,17.0,0.0,13.0,0.0,0.0,1.0,107.0,33.0,3.81,2.361,13.7,0.0,7.5,5.8,0.76,11.51,4.05,-0.31,0.00,105.4,4.58,-16,-1.3,.88,-0.1,-1.2,-14,.308,.494
